testId,label,location,completed_time_stamp,completed_time,run_no,loadTime,fullyLoaded,bytesIn,bytesInDoc,requests,requestsDoc,TTFB,firstPaint,render,SpeedIndex,docTime,ttfb_first_req,ssl_first_req,dns_first_req
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,11,7235,7308,1092338,1091188,100,99,1613,5636,5700,6407,7235,1393,103,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,12,5961,6033,1031232,1030082,100,99,1640,4455,4500,5130,5961,1415,109,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,13,5695,5935,1005626,1004432,100,98,2197,3883,3900,4630,5695,1971,111,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,14,6066,6137,1053932,1052782,100,99,2120,4543,4500,5245,6066,1896,108,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,15,4458,4956,996856,995662,100,98,1116,2689,2600,3379,4458,889,111,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,16,8553,8626,1067812,1066662,100,99,2405,7008,7000,7736,8553,2176,113,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,17,6092,6162,1073932,1072782,100,99,1494,4310,4300,5023,6092,1291,86,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,18,6370,6445,1104824,1103674,100,99,1836,4366,4400,5241,6370,1606,110,0
171108_K7_BY,h1,WPTServer101:Chrome,1510210235,2017-11-09_01-50-35,19,5015,5087,1090990,1089840,100,99,1059,3057,3000,3891,5015,857,84,0
171108_MH_79,h1,WPTServer102:Chrome,1510179409,2017-11-08_17-16-49,4,4198,4903,1004905,1003711,100,98,1005,2634,2600,3325,4198,771,118,0
171108_MH_79,h1,WPTServer102:Chrome,1510179409,2017-11-08_17-16-49,7,4167,4847,997156,995962,100,98,998,2637,2600,3307,4167,761,114,0
171108_MH_79,h1,WPTServer102:Chrome,1510179409,2017-11-08_17-16-49,9,12432,12999,1086228,1085034,100,98,9016,10639,10600,11367,12432,8774,119,0
171108_MH_79,h1,WPTServer102:Chrome,1510179409,2017-11-08_17-16-49,14,4334,5059,1007114,1005920,100,98,1160,2777,2800,3507,4334,935,109,0
171108_MH_79,h1,WPTServer102:Chrome,1510179409,2017-11-08_17-16-49,16,4223,4801,1064206,1063012,100,98,1014,2625,2600,3307,4223,770,117,0
171108_MH_79,h1,WPTServer102:Chrome,1510179409,2017-11-08_17-16-49,18,4109,4993,1034585,1033391,100,98,984,2613,2600,3307,4109,785,84,0
171108_MJ_AZ,h1,WPTServer100:Chrome,1510208589,2017-11-09_01-23-09,7,5611,5792,1043602,1042408,100,98,1466,3542,3500,4542,5611,1244,80,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,3,4363,4836,1015630,1014436,100,98,987,2557,2600,3307,4363,785,85,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,4,4260,5131,957520,956326,100,98,1084,2720,2700,3401,4260,856,88,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,9,4310,4843,1027688,1026494,100,98,1012,2672,2700,3366,4310,780,83,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,10,4817,5046,983166,981972,100,98,1069,2727,2700,3436,4817,821,107,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,11,4445,4781,1032996,1031802,100,98,973,2607,2600,3291,4445,773,83,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,12,4299,4908,987693,986499,100,98,1012,2670,2700,3436,4299,780,96,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,15,4656,4882,1054705,1053511,100,98,961,2605,2700,3425,4656,757,88,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,16,4272,4805,1045940,1044746,100,98,1005,2593,2500,3295,4272,798,91,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,19,4305,4986,974063,972869,100,98,1047,2639,2600,3358,4305,849,82,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,20,4200,4842,1091288,1090094,100,98,1031,2643,2600,3317,4200,777,106,0
171108_R7_87,h1,WPTServer102:Chrome,1510185601,2017-11-08_19-00-01,5,4315,4980,1052656,1051462,100,98,985,2652,2700,3440,4315,762,84,0
171108_R7_87,h1,WPTServer102:Chrome,1510185601,2017-11-08_19-00-01,6,4300,4923,995631,994437,100,98,1044,2696,2600,3382,4300,782,120,0
171108_R7_87,h1,WPTServer102:Chrome,1510185601,2017-11-08_19-00-01,7,4388,5069,1005462,1004268,100,98,1107,2795,2800,3544,4388,842,109,0
171108_R7_87,h1,WPTServer102:Chrome,1510185601,2017-11-08_19-00-01,10,4337,4862,1039245,1038051,100,98,1070,2671,2700,3430,4337,836,112,0
171108_R7_87,h1,WPTServer102:Chrome,1510185601,2017-11-08_19-00-01,12,4154,4847,959379,958185,100,98,971,2600,2600,3350,4154,765,82,0
171108_R7_87,h1,WPTServer102:Chrome,1510185601,2017-11-08_19-00-01,13,4259,4928,1065096,1063902,100,98,1038,2621,2600,3367,4259,830,85,0
171108_R7_87,h1,WPTServer102:Chrome,1510185601,2017-11-08_19-00-01,15,4368,5072,1066584,1065390,100,98,1296,2911,2900,3636,4368,829,111,0
